,0
0-0_split_0,2589
0-0_split_1,1806
0-4_split_0,2664
0-9_split_1,523
0-9_split_4,5476
0-15_split_1,1426
0-15_split_2,1939
0-16_split_0,133
0-19_split_2,1318
0-19_split_4,2113
0-20_split_2,4498
0-20_split_3,184
0-21_split_1,5516
0-21_split_4,1140
0-22_split_1,2216
0-22_split_4,875
0-24_split_0,2840
0-24_split_1,2390
0-25_split_2,1771
0-26_split_2,380
0-26_split_4,389
0-35_split_1,2096
0-35_split_2,4603
0-41_split_0,1303
0-41_split_1,1698
0-41_split_2,4168
0-41_split_4,1572
0-54_split_1,84
0-54_split_2,3139
0-55_split_4,2745
0-68_split_2,957
0-68_split_4,177
0-70_split_0,955
0-70_split_1,260
0-70_split_2,145
0-70_split_4,607
0-74_split_0,2005
0-74_split_2,1864
0-74_split_3,2834
0-79_split_0,2025
0-79_split_1,1530
0-79_split_2,671
0-79_split_3,1337
0-79_split_4,3547
0-88_split_0,6644
0-91_split_2,5544
0-91_split_3,1901
0-91_split_4,461
0-99_split_2,666
0-101_split_0,4388
0-101_split_2,210
0-108_split_1,984
0-108_split_3,2060
0-115_split_0,1509
0-115_split_2,4650
0-123_split_0,810
0-123_split_1,110
0-123_split_2,3790
0-123_split_3,951
0-123_split_4,859
0-129_split_2,763
0-129_split_4,2689
0-133_split_0,238
0-133_split_1,1127
0-133_split_2,96
0-133_split_3,132
0-133_split_4,1343
0-137_split_0,513
0-137_split_1,126
0-137_split_2,1167
0-137_split_3,1839
0-137_split_4,1830
0-145_split_3,2752
0-145_split_4,2592
0-150_split_0,1294
0-150_split_1,875
0-150_split_2,147
0-150_split_3,1180
0-150_split_4,592
0-151_split_2,308
0-158_split_0,676
0-158_split_1,1147
0-158_split_2,924
0-158_split_3,1188
0-158_split_4,1729
0-162_split_0,719
0-162_split_4,4211
0-167_split_0,955
0-167_split_1,542
0-167_split_3,2182
0-167_split_4,2375
0-171_split_1,257
0-171_split_3,3678
0-177_split_1,4845
0-195_split_1,4945
1-3_split_0,3790
1-3_split_2,3429
1-8_split_0,3343
1-11_split_3,283
1-11_split_4,981
1-14_split_2,5552
1-17_split_2,179
1-17_split_4,294
1-22_split_2,467
1-22_split_3,2088
1-37_split_3,3013
1-82_split_1,2998
1-82_split_3,1962
1-87_split_1,953
1-87_split_4,2225
1-133_split_0,2340
1-133_split_1,1188
1-133_split_2,904
1-133_split_4,491
1-137_split_0,544
1-137_split_1,935
1-137_split_2,1366
1-137_split_3,2185
1-137_split_4,2166
1-142_split_0,547
1-142_split_1,295
1-142_split_2,592
1-142_split_3,124
1-142_split_4,1777
1-146_split_0,617
1-146_split_1,1078
1-146_split_2,1464
1-146_split_3,293
1-146_split_4,1242
1-152_split_3,6900
1-158_split_2,738
1-179_split_1,1144
1-180_split_1,45
1-180_split_2,405
1-180_split_3,2255
1-180_split_4,1074
1-184_split_1,1628
1-184_split_2,1381
1-184_split_3,3519
1-184_split_4,1862
1-193_split_3,2930
2-5_split_3,1909
2-13_split_1,1133
2-13_split_4,279
2-14_split_1,118
2-14_split_4,2502
2-15_split_1,2145
2-15_split_2,259
2-17_split_3,1284
2-18_split_0,107
2-18_split_4,1277
2-19_split_1,1403
2-19_split_4,675
2-24_split_2,1637
2-24_split_4,917
2-26_split_1,279
2-26_split_2,1635
2-33_split_3,2002
2-35_split_0,1012
2-37_split_2,286
2-37_split_3,1791
2-41_split_1,914
2-45_split_0,2641
2-46_split_0,2250
2-48_split_0,307
2-49_split_0,457
2-49_split_3,556
2-50_split_1,1531
2-51_split_1,352
2-51_split_2,1247
2-51_split_3,1597
2-54_split_4,800
2-56_split_0,546
2-57_split_2,1560
2-61_split_0,1436
2-61_split_1,366
2-62_split_3,287
2-64_split_0,679
2-64_split_2,1306
2-65_split_1,2178
2-65_split_3,249
2-67_split_0,2259
2-68_split_0,2744
2-68_split_1,493
2-70_split_0,632
2-70_split_4,1770
2-71_split_2,707
2-71_split_4,785
2-72_split_2,1697
2-73_split_0,1164
2-73_split_2,1175
2-74_split_2,1856
2-74_split_4,1399
2-76_split_2,30
2-77_split_0,918
2-79_split_0,691
2-79_split_4,98
2-80_split_1,1515
2-80_split_2,138
2-81_split_0,124
2-81_split_3,1753
2-82_split_3,1376
2-85_split_2,1354
2-85_split_3,792
2-86_split_3,608
2-86_split_4,2621
2-89_split_1,641
2-90_split_1,2832
2-90_split_3,165
2-92_split_1,710
2-92_split_3,978
2-100_split_0,1051
2-100_split_3,1277
2-100_split_4,406
2-101_split_1,2635
2-102_split_0,374
2-102_split_3,595
2-104_split_0,3000
2-105_split_1,657
2-105_split_4,1010
2-106_split_0,978
2-106_split_1,693
2-106_split_2,1077
2-107_split_0,1708
2-107_split_2,403
2-108_split_0,1698
2-108_split_3,82
2-109_split_0,109
2-109_split_4,1608
2-112_split_0,1043
2-112_split_1,935
2-112_split_4,524
2-113_split_0,205
2-113_split_4,1336
2-114_split_0,970
2-114_split_1,360
2-115_split_3,601
2-116_split_0,1426
2-116_split_2,394
2-118_split_4,884
2-120_split_0,897
2-120_split_3,815
2-122_split_0,1318
2-122_split_1,430
2-122_split_4,2234
2-124_split_1,928
2-124_split_4,2361
2-127_split_2,1849
2-128_split_2,500
2-128_split_4,1913
2-129_split_0,992
2-129_split_3,821
2-130_split_2,981
2-130_split_3,1127
2-131_split_0,482
2-131_split_4,1310
2-132_split_0,490
2-132_split_1,177
2-132_split_2,1701
2-132_split_3,191
2-132_split_4,153
2-133_split_0,1622
2-133_split_1,918
2-135_split_2,979
2-135_split_3,434
2-137_split_2,279
2-137_split_3,534
2-138_split_0,488
2-138_split_4,867
2-139_split_0,132
2-139_split_3,33
2-140_split_2,555
2-141_split_2,681
2-141_split_4,1196
2-143_split_0,348
2-143_split_4,2243
2-146_split_1,1808
2-147_split_2,341
2-147_split_4,1614
2-149_split_2,2086
2-149_split_4,316
2-150_split_3,963
2-150_split_4,764
2-151_split_0,959
