,mean,min,max
0--1,991.765,0.0,7092.0
0-0,229.6,90.0,573.0
0-1,214.0,120.0,310.0
0-2,223.6,47.0,774.0
0-3,239.2,60.0,466.0
0-4,225.6,102.0,348.0
0-5,250.0,1.0,573.0
0-6,255.6,20.0,369.0
0-7,212.8,30.0,445.0
0-8,225.8,0.0,937.0
0-9,216.0,0.0,646.0
0-10,224.8,71.0,475.0
0-11,239.2,0.0,335.0
0-12,208.4,100.0,383.0
0-13,224.8,56.0,464.0
0-14,220.8,88.0,425.0
0-15,207.6,14.0,350.0
0-16,200.6,97.0,333.0
0-17,217.0,40.0,535.0
0-18,234.4,155.0,342.0
0-19,136.4,7.0,245.0
0-20,210.0,100.0,315.0
0-21,179.4,0.0,608.0
0-22,209.4,0.0,496.0
0-23,220.2,38.0,758.0
0-24,229.0,6.0,728.0
0-25,210.6,0.0,556.0
0-26,223.4,51.0,532.0
0-27,208.8,43.0,351.0
0-28,228.4,41.0,896.0
0-29,205.0,44.0,568.0
0-30,212.0,61.0,423.0
0-31,204.0,13.0,511.0
0-32,196.0,0.0,575.0
0-33,220.0,22.0,471.0
0-34,239.0,0.0,434.0
0-35,234.0,15.0,478.0
0-36,233.6,24.0,730.0
0-37,230.8,28.0,726.0
0-38,210.8,10.0,432.0
0-39,129.0,16.0,318.0
0-40,586.2,75.0,1902.0
0-41,600.4,89.0,1066.0
0-42,655.4,94.0,1971.0
0-43,564.2,164.0,1214.0
0-44,615.4,59.0,1977.0
0-45,604.6,170.0,1578.0
0-46,629.8,186.0,2157.0
0-47,621.0,101.0,1299.0
0-48,615.8,235.0,1540.0
0-49,687.6,194.0,1486.0
0-50,585.0,140.0,1150.0
0-51,694.8,246.0,1322.0
0-52,590.4,92.0,2107.0
0-53,617.4,102.0,1528.0
0-54,543.2,25.0,968.0
0-55,596.6,0.0,1209.0
0-56,615.2,87.0,1146.0
0-57,598.6,112.0,1222.0
0-58,576.2,130.0,1485.0
0-59,447.8,81.0,1181.0
0-60,242.8,145.0,400.0
0-61,220.6,2.0,440.0
0-62,231.8,45.0,608.0
0-63,204.2,18.0,587.0
0-64,227.6,21.0,631.0
0-65,230.4,80.0,611.0
0-66,241.8,29.0,558.0
0-67,208.8,18.0,564.0
0-68,222.2,41.0,385.0
0-69,230.8,21.0,402.0
0-70,217.2,23.0,547.0
0-71,228.6,79.0,540.0
0-72,242.2,65.0,530.0
0-73,228.8,42.0,430.0
0-74,245.2,82.0,517.0
0-75,207.0,20.0,571.0
0-76,211.8,0.0,539.0
0-77,211.6,40.0,814.0
0-78,217.4,39.0,511.0
0-79,229.6,32.0,475.0
0-80,521.8,2.0,1338.0
0-81,512.8,5.0,1133.0
0-82,525.6,139.0,1152.0
0-83,462.8,40.0,880.0
0-84,507.8,80.0,1758.0
0-85,499.6,98.0,1122.0
0-86,514.6,37.0,1001.0
0-87,533.2,194.0,1506.0
0-88,497.8,0.0,803.0
0-89,494.0,56.0,1007.0
0-90,493.8,26.0,1709.0
0-91,497.0,106.0,1727.0
0-92,497.6,99.0,1346.0
0-93,497.6,10.0,1840.0
0-94,528.2,258.0,1368.0
0-95,515.4,148.0,1058.0
0-96,508.2,200.0,1358.0
0-97,490.6,167.0,864.0
0-98,504.8,8.0,1093.0
0-99,229.2,29.0,786.0
0-100,571.0,132.0,1282.0
0-101,586.6,0.0,1485.0
0-102,584.4,53.0,1538.0
0-103,612.0,134.0,1101.0
0-104,584.2,86.0,1047.0
0-105,560.8,239.0,920.0
0-106,590.8,426.0,714.0
0-107,580.6,233.0,1209.0
0-108,578.2,64.0,1754.0
0-109,568.8,416.0,770.0
0-110,316.6,33.0,785.0
0-111,564.2,269.0,1008.0
0-112,606.0,0.0,1209.0
0-113,572.8,213.0,1380.0
0-114,577.0,311.0,927.0
0-115,603.8,243.0,1482.0
0-116,567.2,64.0,1007.0
0-117,586.2,179.0,1255.0
0-118,611.0,115.0,979.0
0-119,268.2,88.0,640.0
0-120,196.0,40.0,407.0
0-121,206.4,41.0,387.0
0-122,215.4,99.0,318.0
0-123,227.6,10.0,684.0
0-124,226.0,27.0,516.0
0-125,230.0,54.0,465.0
0-126,37.2,0.0,110.0
0-127,230.4,53.0,423.0
0-128,221.6,5.0,396.0
0-129,224.8,47.0,380.0
0-130,221.6,41.0,743.0
0-131,226.4,14.0,370.0
0-132,202.0,32.0,564.0
0-133,218.0,16.0,386.0
0-134,222.6,48.0,475.0
0-135,198.2,6.0,427.0
0-136,230.0,77.0,472.0
0-137,227.6,2.0,636.0
0-138,207.8,31.0,391.0
0-139,232.2,62.0,464.0
0-140,343.4,145.0,715.0
0-141,344.4,173.0,670.0
0-142,334.2,150.0,568.0
0-143,315.8,162.0,499.0
0-144,304.0,120.0,601.0
0-145,348.0,162.0,638.0
0-146,348.4,124.0,631.0
0-147,338.8,114.0,872.0
0-148,356.2,95.0,595.0
0-149,326.2,0.0,848.0
0-150,332.0,131.0,565.0
0-151,302.8,50.0,749.0
0-152,332.2,65.0,964.0
0-153,305.8,26.0,778.0
0-154,305.8,0.0,935.0
0-155,304.2,2.0,1058.0
0-156,356.0,81.0,814.0
0-157,328.0,16.0,754.0
0-158,341.0,78.0,627.0
0-159,247.8,49.0,556.0
0-160,786.0,263.0,1360.0
0-161,752.2,428.0,1495.0
0-162,772.6,204.0,1434.0
0-163,760.6,258.0,1073.0
0-164,782.6,354.0,1792.0
0-165,783.4,1.0,2502.0
0-166,755.6,265.0,1705.0
0-167,811.0,26.0,2288.0
0-168,753.6,29.0,2757.0
0-169,826.8,255.0,1567.0
0-170,785.4,92.0,1383.0
0-171,618.8,235.0,1147.0
0-172,768.4,53.0,1451.0
0-173,748.8,150.0,1895.0
0-174,688.6,177.0,1080.0
0-175,754.2,92.0,1858.0
0-176,767.8,189.0,2126.0
0-177,603.6,175.0,1365.0
0-178,786.6,457.0,1363.0
0-179,556.0,277.0,1183.0
0-180,724.4,24.0,2499.0
0-181,607.2,121.0,1000.0
0-182,671.4,177.0,1472.0
0-183,718.0,65.0,2485.0
0-184,588.6,83.0,1562.0
0-185,1994.6,20.0,4915.0
0-186,666.2,146.0,2254.0
0-187,707.8,260.0,954.0
0-188,653.2,305.0,1121.0
0-189,656.0,168.0,1590.0
0-190,661.8,61.0,1159.0
0-191,713.6,99.0,2178.0
0-192,264.2,20.0,430.0
0-193,649.8,177.0,2053.0
0-194,663.4,333.0,921.0
0-195,676.2,270.0,943.0
0-196,596.0,148.0,1165.0
0-197,1786.4,892.0,3389.0
0-198,1994.4,286.0,3761.0
1--1,206.2,153.0,244.0
1-0,1056.4,76.0,3445.0
1-1,1037.2,185.0,2712.0
1-2,1047.2,192.0,2673.0
1-3,1036.2,363.0,2100.0
1-4,1046.4,3.0,4921.0
1-5,1038.6,676.0,1539.0
1-6,1078.2,136.0,2216.0
1-7,1045.0,406.0,1970.0
1-8,1038.6,159.0,1612.0
1-9,1031.4,71.0,3203.0
1-10,1079.4,763.0,1882.0
1-11,1038.8,117.0,2174.0
1-12,1051.4,96.0,2742.0
1-13,1048.8,287.0,1562.0
1-14,1085.0,675.0,1758.0
1-15,1058.8,101.0,1904.0
1-16,1043.8,450.0,1491.0
1-17,1040.6,224.0,2928.0
1-18,1037.0,48.0,1991.0
1-19,1052.2,302.0,1595.0
1-20,343.4,0.0,703.0
1-21,517.2,223.0,923.0
1-22,500.2,76.0,1041.0
1-23,514.2,73.0,1212.0
1-24,505.6,89.0,1049.0
1-25,511.2,78.0,1250.0
1-26,506.0,112.0,1457.0
1-27,502.4,315.0,972.0
1-28,504.2,16.0,1201.0
1-29,502.2,88.0,1201.0
1-30,507.4,244.0,710.0
1-31,503.4,72.0,1116.0
1-32,502.2,112.0,892.0
1-33,406.4,76.0,933.0
1-34,504.6,57.0,973.0
1-35,506.2,164.0,983.0
1-36,519.0,61.0,1053.0
1-37,506.2,45.0,1093.0
1-38,506.8,215.0,805.0
1-39,332.2,0.0,1042.0
1-40,512.4,115.0,1001.0
1-41,517.2,342.0,752.0
1-42,518.6,93.0,1177.0
1-43,514.6,79.0,1676.0
1-44,508.6,0.0,975.0
1-45,508.6,172.0,1469.0
1-46,515.8,65.0,1439.0
1-47,511.0,125.0,1017.0
1-48,520.6,142.0,1169.0
1-49,512.0,70.0,1594.0
1-50,507.8,355.0,979.0
1-51,510.6,136.0,959.0
1-52,512.4,21.0,1229.0
1-53,508.4,112.0,1386.0
1-54,518.2,354.0,668.0
1-55,513.8,237.0,867.0
1-56,57.4,16.0,164.0
1-57,512.8,79.0,1684.0
1-58,513.4,149.0,1237.0
1-59,531.6,62.0,1120.0
1-60,92.0,0.0,292.0
1-61,539.8,198.0,1121.0
1-62,506.4,136.0,1309.0
1-63,502.6,391.0,584.0
1-64,507.8,0.0,914.0
1-65,507.2,335.0,699.0
1-66,507.4,1.0,1426.0
1-67,510.6,125.0,1218.0
1-68,512.4,125.0,934.0
1-69,501.4,16.0,975.0
1-70,508.0,137.0,779.0
1-71,504.6,120.0,1067.0
1-72,504.4,40.0,978.0
1-73,506.6,137.0,1012.0
1-74,509.8,51.0,927.0
1-75,536.4,66.0,1009.0
1-76,528.6,65.0,1631.0
1-77,520.2,101.0,1715.0
1-78,538.6,17.0,981.0
1-79,516.0,237.0,879.0
1-80,959.6,46.0,2645.0
1-81,956.6,313.0,2272.0
1-82,955.6,148.0,2917.0
1-83,954.8,261.0,2670.0
