,mean,min,max
0,65.0,29.0,101.0
1,4963.5,1522.0,8405.0
2,179.5,74.0,285.0
3,4974.0,2682.0,7266.0
4,1254.0,296.0,2212.0
5,2715.0,1317.0,4113.0
6,664.0,158.0,1170.0
7,2231.5,2191.0,2272.0
8,2235.0,2065.0,2405.0
9,4985.5,3801.0,6170.0
10,4990.5,1783.0,8198.0
11,4705.0,3539.0,5871.0
12,759.5,670.0,849.0
13,4978.0,861.0,9095.0
14,3467.5,2742.0,4193.0
15,527.0,128.0,926.0
16,1853.0,234.0,3472.0
17,4974.0,4609.0,5339.0
18,298.5,112.0,485.0
19,27.5,0.0,55.0
20,2410.0,858.0,3962.0
21,1831.5,263.0,3400.0
22,2436.0,1734.0,3138.0
23,152.0,44.0,260.0
24,3048.0,2691.0,3405.0
25,1617.5,1410.0,1825.0
26,47.0,8.0,86.0
27,2530.5,899.0,4162.0
28,4978.0,718.0,9238.0
29,1570.0,393.0,2747.0
30,83.0,30.0,136.0
31,220.5,186.0,255.0
32,174.0,43.0,305.0
33,243.0,68.0,418.0
34,2178.0,1040.0,3316.0
35,555.0,352.0,758.0
36,3979.5,2804.0,5155.0
37,3551.5,1035.0,6068.0
38,1336.0,1214.0,1458.0
39,4471.5,106.0,8837.0
40,4987.0,4844.0,5130.0
41,4922.5,1152.0,8693.0
42,1555.5,1058.0,2053.0
43,4976.0,3860.0,6092.0
44,28.5,0.0,57.0
45,1723.5,928.0,2519.0
46,1292.0,328.0,2256.0
47,4732.0,3723.0,5741.0
48,4924.0,1705.0,8143.0
49,191.0,132.0,250.0
50,3576.5,3057.0,4096.0
51,3907.5,3701.0,4114.0
52,2155.5,378.0,3933.0
53,2411.0,1367.0,3455.0
54,4975.0,4710.0,5240.0
55,607.0,379.0,835.0
56,4988.0,4351.0,5625.0
57,1931.5,1897.0,1966.0
58,4994.5,1728.0,8261.0
59,1254.5,1137.0,1372.0
60,4988.5,1222.0,8755.0
61,3785.5,1683.0,5888.0
62,1529.0,1079.0,1979.0
63,2187.5,973.0,3402.0
64,4992.0,2755.0,7229.0
65,3743.5,1238.0,6249.0
66,844.0,169.0,1519.0
67,39.5,12.0,67.0
68,2206.5,1473.0,2940.0
69,1878.0,1124.0,2632.0
70,4992.5,2362.0,7623.0
71,1024.5,30.0,2019.0
72,2665.5,213.0,5118.0
73,2210.0,661.0,3759.0
74,4034.5,1574.0,6495.0
75,4947.0,3149.0,6745.0
76,2717.0,1031.0,4403.0
77,2056.0,1558.0,2554.0
78,43.0,26.0,60.0
79,892.0,292.0,1492.0
80,3062.0,2942.0,3182.0
81,180.5,0.0,361.0
82,4980.5,2448.0,7513.0
83,4977.0,4498.0,5456.0
84,2556.0,2474.0,2638.0
85,195.0,94.0,296.0
86,3351.0,1154.0,5548.0
87,64.5,29.0,100.0
88,744.0,731.0,757.0
89,4983.5,1874.0,8093.0
90,2570.0,160.0,4980.0
91,4992.0,4667.0,5317.0
92,920.5,405.0,1436.0
93,1712.5,0.0,3425.0
94,4096.5,4053.0,4140.0
95,390.0,165.0,615.0
96,3318.5,2734.0,3903.0
97,186.5,92.0,281.0
98,3873.0,1439.0,6307.0
99,1398.5,420.0,2377.0
100,805.0,43.0,1567.0
101,273.5,49.0,498.0
102,511.0,253.0,769.0
103,4068.5,1977.0,6160.0
104,1484.0,445.0,2523.0
105,1649.5,581.0,2718.0
106,3861.5,1731.0,5992.0
107,4990.0,784.0,9196.0
108,43.5,0.0,87.0
109,1566.5,1272.0,1861.0
110,62.5,61.0,64.0
111,4247.0,2923.0,5571.0
112,3313.5,1966.0,4661.0
113,724.5,661.0,788.0
114,992.5,876.0,1109.0
115,2256.5,1578.0,2935.0
116,3612.0,1503.0,5721.0
117,1655.5,1385.0,1926.0
118,2629.0,1616.0,3642.0
119,4985.5,1254.0,8717.0
120,481.5,123.0,840.0
121,80.0,0.0,160.0
122,3463.5,1846.0,5081.0
123,1769.5,254.0,3285.0
124,4984.5,4849.0,5120.0
125,40.0,0.0,80.0
126,1789.5,1740.0,1839.0
127,4005.0,540.0,7470.0
128,4380.5,475.0,8286.0
129,99.5,25.0,174.0
130,80.5,0.0,161.0
131,286.0,77.0,495.0
132,2510.0,941.0,4079.0
133,4964.0,3174.0,6754.0
134,117.5,35.0,200.0
135,2725.5,2680.0,2771.0
136,759.5,525.0,994.0
137,1118.0,716.0,1520.0
138,50.0,27.0,73.0
139,616.0,551.0,681.0
140,739.5,66.0,1413.0
141,4982.0,1092.0,8872.0
142,3056.0,197.0,5915.0
143,941.5,654.0,1229.0
144,181.5,179.0,184.0
145,2013.5,198.0,3829.0
146,1609.5,1300.0,1919.0
147,4962.0,2952.0,6972.0
148,1489.5,508.0,2471.0
149,244.0,60.0,428.0
150,1034.5,890.0,1179.0
151,2207.0,610.0,3804.0
152,2315.5,1494.0,3137.0
153,2510.0,1902.0,3118.0
154,2099.5,1191.0,3008.0
155,228.5,197.0,260.0
156,4979.0,3268.0,6690.0
157,1962.5,1311.0,2614.0
158,1488.0,646.0,2330.0
159,4982.5,1515.0,8450.0
160,1100.0,1068.0,1132.0
161,752.0,607.0,897.0
162,2689.0,2073.0,3305.0
163,3113.5,909.0,5318.0
164,220.5,95.0,346.0
165,4975.5,506.0,9445.0
166,2502.5,603.0,4402.0
167,943.5,620.0,1267.0
168,1786.0,895.0,2677.0
169,4987.5,852.0,9123.0
170,1210.0,789.0,1631.0
171,3891.5,350.0,7433.0
172,1477.5,293.0,2662.0
